,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
16825,nogenre.xlsx,14832215,|||,eng,,,"WILLIAMSON, George, F.R.S.E., F.S.A. Scot.","Williamson, George, F.R.S.E., F.S.A. Scot",,,,,"Old Greenock from the Earliest Times to the Early Part of the Nineteenth Century, with some account of the Burgh of Cartsburn and Burgh of Barony of Crawfurdsdyke, etc. [With plates.] [electronic resource]","Old Greenock from the Earliest Times to the Early Part of the Nineteenth Century, with some account of the Burgh of Cartsburn and Burgh of Barony of Crawfurdsdyke, etc.",,eng,,"Paisley ; London : Alexander Gardner, 1886.",London,1886.0,Paisley London Alexander Gardner,,,,,lsidyv3c3f174a,,,
8042,nogenre.xlsx,14809095,|||,und,,,"Dickens, Charles, 1812-1870","Dickens, Charles",,1812-1870,,,"Christmas Books ... With illustrations by Sir Edwin Landseer, R.A., Maclise, R.A., Stanfield, R.A., F. Stone, Doyle, Leech, and Tenniel. [electronic resource]","Christmas Books... With illustrations by Sir Edwin Landseer, R.A., Maclise, R.A., Stanfield, R.A., F. Stone, Doyle, Leech, and Tenniel.",,eng,,"London : Chapman & Hall, 1869.",London,1869.0,London Chapman Hall,,,"DOYLE, Richard. -- Landseer, Edwin Henry, Sir, 1802-1873. -- LEECH, John, Artist. -- MACLISE, Daniel. -- STANFIELD, William Clarkson. -- STONE, Francis, Artist. -- Tenniel, John, 1820-1914.",,lsidyv395646e5,,,
30781,nogenre.xlsx,15106127,|||,fre,,,"MADIOU, Thomas, the Younger.","Madiou, Thomas, The Younger",,,,,"Histoire d'Haïti, etc. [electronic resource]","Histoire d'Haïti, etc.",,fre,,"Port-au-Prince, 1847.",Port,1847.0,Port Prince,,,,,lsidyv38940ed1,,,
20089,nogenre.xlsx,14847953,|||,por,,,"ROMERO, Jeronymo.","Romero, Jeronymo",,,,,"Supplemento á memoria ... do districto de Cabo Delgado, com uma noticia ácerca do estabelecimento da Colonia de Pemba. [With a map.] [electronic resource]","Supplemento á memoria... do districto de Cabo Delgado, com uma noticia ácerca do estabelecimento da Colonia de Pemba.",,pt-PT,,"Lisboa, 1860.",Lisboa,1860.0,Lisboa,,,,,lsidyv35df4416,,,
26496,nogenre.xlsx,14880413,|||,eng,,,"VERESHCHAGIN, Vasily Vasil'evich.","Vereshchagin, Vasily Vasil'evich",,,,,“1812.” Napoleon I. in Russia ... With an introduction by R. Whiteing. Illustrated from sketches and paintings by the author. [electronic resource],“1812.” Napoleon I. in Russia... With an introduction by R. Whiteing. Illustrated from sketches and paintings by the author.,,eng,,"London : W. Heinemann, 1899.",London,1899.0,London Heinemann,,,"WHITEING, Richard. -- Napoleon I, Emperor of the French, 1769-1821.",,lsidyv30aa2ab7,,,
38864,poetry.xls,14813255,|||,eng,,,"HEWETT, William.","Hewett, William",,,,,"The history and antiquities of the Hundred of Compton, Berks; To which are added Dissertations on the Roman Station “Calleva Atrebatum” and the Battle of Ashdown; with an account of Cuckhamsley, Lowborough and other antiquities in the neighbourhood. [electronic resource]","The history and antiquities of the Hundred of Compton, Berks; To which are added Dissertations on the Roman Station “Calleva Atrebatum” and the Battle of Ashdown; with an account of Cuckhamsley, Lowborough and other antiquities in the neighbourhood.",,eng,,"Reading, 1844.",Reading,1844.0,Reading,,,,,lsidyv3c35984e,story,Prose,
26524,nogenre.xlsx,14880446,|||,ger,,,"WERNER, Bartholomaeus von.","Werner, Bartholomaeus Von",,,,,Ein deutsches Kriegsschiff in der Südsee ... Mit über 100 Abbildungen und 5 Karten. [electronic resource],Ein deutsches Kriegsschiff in der Südsee... Mit über 100 Abbildungen und 5 Karten.,,ger,,"Leipzig, 1889.",Leipzig,1889.0,Leipzig,,,,,lsidyv375efb9b,,,
32657,nogenre.xlsx,15742952,|||,eng,,,"MADDEN, Richard Robert.","Madden, Richard Robert",,,,,"The Connexion between the Kingdom of Ireland and the Crown of England ... With an appendix of the Privy Council correspondence during ... 1811, 1812, 1816, 1817. [electronic resource]","The Connexion between the Kingdom of Ireland and the Crown of England... With an appendix of the Privy Council correspondence during... 1811, 1812, 1816, 1817.",,eng,,"Dublin : James Duffy, 1845.",Dublin,1845.0,Dublin James Duffy,,,,,lsidyv38a15987,,,
42155,poetry.xls,14824005,|||,und,,,"Scott, Walter, Sir, 1771-1832","Scott, Walter",Sir,1771-1832,,,"Minstrelsy of the Scottish Border ... Collected in the Southern counties of Scotland; with a few of modern date, founded upon local tradition. [electronic resource]","Minstrelsy of the Scottish Border... Collected in the Southern counties of Scotland; with a few of modern date, founded upon local tradition.",,eng,,"Thomas Tegg, etc. : London, etc., 1839.",Thomas,1839.0,Thomas Tegg London,,,,,lsidyv3076e8e8 -- lsidyv31730bba,ode,Poetry,
12892,nogenre.xlsx,14823051,|||,eng,,,,,,,,,"Love and Barton's Manchester Exchange Directory of 1848, etc. [electronic resource]","Love and Barton's Manchester Exchange Directory of 1848, etc.",,eng,,"London : Love and Barton, 1848.",London,1848.0,London Love Barton,,,,,lsidyv3064e4a0,,,
