,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
25295,nogenre.xlsx,14872604,|||,ger,,,,,,,,,"Mittheilungen über die Verhältnisse in den Ländern am Plata, namentlich mit Rücksicht auf die bestehenden Interessen Deutschen Handels- und Colonisationswesens in Buenos-Ayres. pt. 1. [electronic resource]","Mittheilungen über die Verhältnisse in den Ländern am Plata, namentlich mit Rücksicht auf die bestehenden Interessen Deutschen Handels- und Colonisationswesens in Buenos-Ayres. pt. 1.",,ger,,"Hamburg, 1852.",Hamburg,1852.0,Hamburg,,,,,lsidyv37364e4d,,,
3521,nogenre.xlsx,14756088,|||,eng,,,"BURN, Robert, Fellow and Tutor of Trinity College, Cambridge.","Burn, Robert","Fellow and Tutor of Trinity College, Cambridge",,,,A Reply to Mr. J. H. Parker's Criticisms on “Rome and the Campagna.”. [electronic resource],A Reply to Mr. J. H. Parker's Criticisms on “Rome and the Campagna.”.,,eng,,"Cambridge : Deighton, Bell & Co., 1872.",Cambridge,1872.0,Cambridge Deighton Bell,,,"PARKER, John Henry, C.B..",,lsidyv3beac68c,,,
2913,nogenre.xlsx,14616985,|||,und,,,"Pius IX, Pope, 1792-1878","Pius Ix, Pope",,1792-1878,,,"Pius Bull, and John Bull, or, the Blunder of the Man who never makes a Mistake. A serio comic extravaganza, in three acts. [electronic resource]","Pius Bull, and John Bull, or, the Blunder of the Man who never makes a Mistake. A serio comic extravaganza, in three acts.",,eng,,"Bristol : John Wright, 1850.",Bristol,1850.0,Bristol John Wright,,,,,lsidyv34eca214,,,
22919,nogenre.xlsx,14866648,|||,ger,,,,,,,,Düsseldorfer Geschichtsverein (DUSSELDORF). Ferber (H.),Historische Wanderung durch die alte Stadt Düsseldorf. [electronic resource],Historische Wanderung durch die alte Stadt Düsseldorf.,,ger,,"Düsseldorf, 1889, 90.",Düsseldorf,1889.0,Düsseldorf,,,,,lsidyv36bbdcdc,,,
12306,nogenre.xlsx,14818402,|||,eng,,,"MARIETTE, François Auguste Ferdinand.","Mariette, François Auguste Ferdinand",,,,,"The Monuments of Upper Egypt. A translation of the “Itinéraire de la Haute Égypte,” of A. Mariette-Bey. By Alphonse Mariette. [electronic resource]","The Monuments of Upper Egypt. A translation of the “Itinéraire de la Haute Égypte,” of A. Mariette-Bey.",By Alphonse Mariette.,fre,,"Alexandra and Cairo, London [printed], 1877.",Alexandria,1877.0,Alexandra Cairo London,,,"MARIETTE, Alphonse.",,lsidyv3cbb3dff,,,
1250,drama.xlsx,14805912,|||,und,,,"BRENTEN, John H.","Brenten, John H",,,,,"The Tragedy of Life: being records of remarkable phases of lunacy, kept by a physician. [electronic resource]","The Tragedy of Life: being records of remarkable phases of lunacy, kept by a physician.",,eng,,"London : Smith, Elder & Co., 1861.",London,1861.0,London Smith Elder,,,,,lsidyv3ae20905 -- lsidyv3ae25612,tragedy,Drama,
16203,nogenre.xlsx,14831019,|||,und,,,"TOWNSHEND, Warren.","Townshend, Warren",,,,,"The Fantoccini Man; or, Foundling Earl. [electronic resource]","The Fantoccini Man; or, Foundling Earl.",,eng,,"London : Roper & Drowley, 1890.",London,1890.0,London Roper Drowley,,,,,lsidyv3ababf89,,,
28758,nogenre.xlsx,14896878,|||,fre,,,"POPLIMONT, Charles.","Poplimont, Charles",,,,,"Révolution belge. La Belgique depuis mil huit cent trente, 1830-1848, etc. [With plates.] [electronic resource]","Révolution belge. La Belgique depuis mil huit cent trente, 1830-1848, etc.",,fre,,"Gand, 1848.",Gand,1848.0,Gand,,,,,lsidyv37e3e961,,,
41441,poetry.xls,14819138,|||,und,,,"MILES, Alfred Henry.","Miles, Alfred Henry",,,,,"The Aldine Reciter. Modern poetry for the platform, the home, and the school. With hints on public speaking, etc. [electronic resource]","The Aldine Reciter. Modern poetry for the platform, the home, and the school. With hints on public speaking, etc.",,eng,,"London : Simpkin, Marshall & Co., [1888.].",London,1888.0,London Simpkin Marshall,,,,,lsidyv32b9465b,poet,Poetry,
1449,drama.xlsx,14818945,|||,und,,,"MEILAN, Mark Anthony.","Meilan, Mark Anthony",,,,,Northumberland. A tragedy [in five acts and in verse]. [electronic resource],Northumberland. A tragedy,,eng,,"London, [1771.]",London,1771.0,London,,,,,lsidyv31b04108,tragedy,Drama,
19083,nogenre.xlsx,14841546,|||,eng,,,,,,,,,"[Norwich Cathedral.] Ward and Lock's Illustrated Historical Handbook to Norwich Cathedral, etc. [electronic resource]","Ward and Lock's Illustrated Historical Handbook to Norwich Cathedral, etc.",,eng,,"London : Ward, Lock & Co., 1890.",London,1890.0,London Ward Lock,,,,,lsidyv359b23a3,,,
43629,poetry.xls,14827805,|||,und,,,"PRYCE, Richard.","Pryce, Richard",,,,,Deck-chair Stories. [electronic resource],Deck-chair Stories.,,eng,,"London : Ward & Downey, 1891.",London,1891.0,London Ward Downey,,,,,lsidyv3aac5c3d,story,Prose,
2288,music.xlsx,14805111,|||,und,,,"BERESFORD, E. M.","Beresford, E. M",,,,,Songs and Shadows. [Poems.] [electronic resource],Songs and Shadows.,,eng,,"pp. vii. 99. Digby & Long: London, [1897.]",Digby,1897.0,Digby Long London,,,,,lsidyv352bfa8e,song,Music,
